pricedate,Expiry,strike,option_type,impliedvol
02/01/2026,18/12/2026,3300,Call,
02/01/2026,18/12/2026,3400,Call,
02/01/2026,18/12/2026,3500,Call,24.46874619
02/01/2026,18/12/2026,3600,Call,26.8119297
02/01/2026,18/12/2026,3700,Call,27.84285355
02/01/2026,18/12/2026,3800,Call,28.27892113
02/01/2026,18/12/2026,3900,Call,28.43981743
02/01/2026,18/12/2026,4000,Call,28.43102837
02/01/2026,18/12/2026,4100,Call,28.24893761
02/01/2026,18/12/2026,4200,Call,28.00793266
02/01/2026,18/12/2026,4300,Call,27.74085808
02/01/2026,18/12/2026,4400,Call,27.40752792
02/01/2026,18/12/2026,4500,Call,27.13090134
02/01/2026,18/12/2026,4600,Call,26.77312088
02/01/2026,18/12/2026,4700,Call,26.40409851
02/01/2026,18/12/2026,4800,Call,26.02742767
02/01/2026,18/12/2026,4900,Call,25.62631226
02/01/2026,18/12/2026,5000,Call,25.23355103
02/01/2026,18/12/2026,5100,Call,24.83010674
02/01/2026,18/12/2026,5200,Call,24.42372894
02/01/2026,18/12/2026,5300,Call,24.00767899
02/01/2026,18/12/2026,5400,Call,23.59007835
02/01/2026,18/12/2026,5500,Call,23.18194962
02/01/2026,18/12/2026,5600,Call,22.75402451
02/01/2026,18/12/2026,5700,Call,22.33071327
02/01/2026,18/12/2026,5800,Call,21.90558243
02/01/2026,18/12/2026,5900,Call,21.47048378
02/01/2026,18/12/2026,3300,Put,40.02038956
02/01/2026,18/12/2026,3400,Put,39.14034271
02/01/2026,18/12/2026,3500,Put,38.25951767
02/01/2026,18/12/2026,3600,Put,37.39140701
02/01/2026,18/12/2026,3700,Put,36.56108093
02/01/2026,18/12/2026,3800,Put,35.73540115
02/01/2026,18/12/2026,3900,Put,34.90500259
02/01/2026,18/12/2026,4000,Put,34.13049698
02/01/2026,18/12/2026,4100,Put,33.36061096
02/01/2026,18/12/2026,4200,Put,32.60460663
02/01/2026,18/12/2026,4300,Put,31.87486839
02/01/2026,18/12/2026,4400,Put,31.1757431
02/01/2026,18/12/2026,4500,Put,30.49521637
02/01/2026,18/12/2026,4600,Put,29.82962418
02/01/2026,18/12/2026,4700,Put,29.19245338
02/01/2026,18/12/2026,4800,Put,28.56446457
02/01/2026,18/12/2026,4900,Put,27.95733833
02/01/2026,18/12/2026,5000,Put,27.36603928
02/01/2026,18/12/2026,5100,Put,26.78956032
02/01/2026,18/12/2026,5200,Put,26.22474289
02/01/2026,18/12/2026,5300,Put,25.66983795
02/01/2026,18/12/2026,5400,Put,25.1299839
02/01/2026,18/12/2026,5500,Put,24.59908485
02/01/2026,18/12/2026,5600,Put,24.07546043
02/01/2026,18/12/2026,5700,Put,23.55907059
02/01/2026,18/12/2026,5800,Put,23.05599403
02/01/2026,18/12/2026,5900,Put,22.55091476
02/01/2026,18/12/2026,1800,Call,
02/01/2026,18/12/2026,2000,Call,
02/01/2026,18/12/2026,2200,Call,
02/01/2026,18/12/2026,2400,Call,
02/01/2026,18/12/2026,2600,Call,
02/01/2026,18/12/2026,2800,Call,
02/01/2026,18/12/2026,3000,Call,
02/01/2026,18/12/2026,3200,Call,
02/01/2026,18/12/2026,6000,Call,21.03013611
02/01/2026,18/12/2026,6200,Call,20.12146378
02/01/2026,18/12/2026,6400,Call,19.19412994
02/01/2026,18/12/2026,6600,Call,18.2069664
02/01/2026,18/12/2026,6800,Call,17.17721939
02/01/2026,18/12/2026,7000,Call,16.15653229
02/01/2026,18/12/2026,7200,Call,15.18027592
02/01/2026,18/12/2026,7400,Call,14.2839222
02/01/2026,18/12/2026,7600,Call,13.54737091
02/01/2026,18/12/2026,7800,Call,13.00008774
02/01/2026,18/12/2026,8000,Call,12.63016129
02/01/2026,18/12/2026,8200,Call,12.40343857
02/01/2026,18/12/2026,8400,Call,12.30376434
02/01/2026,18/12/2026,8600,Call,12.27565193
02/01/2026,18/12/2026,8800,Call,12.31339359
02/01/2026,18/12/2026,9000,Call,12.38050938
02/01/2026,18/12/2026,9200,Call,12.46295452
02/01/2026,18/12/2026,1800,Put,55.98793411
02/01/2026,18/12/2026,2000,Put,53.56270218
02/01/2026,18/12/2026,2200,Put,51.11083221
02/01/2026,18/12/2026,2400,Put,48.80642319
02/01/2026,18/12/2026,2600,Put,46.67814636
02/01/2026,18/12/2026,2800,Put,44.67200089
02/01/2026,18/12/2026,3000,Put,42.75562668
02/01/2026,18/12/2026,3200,Put,40.91884995
02/01/2026,18/12/2026,6000,Put,22.04454803
02/01/2026,18/12/2026,6200,Put,21.02933311
02/01/2026,18/12/2026,6400,Put,20.00363541
02/01/2026,18/12/2026,6600,Put,18.94605446
02/01/2026,18/12/2026,6800,Put,17.86397934
02/01/2026,18/12/2026,7000,Put,16.80738258
02/01/2026,18/12/2026,7200,Put,15.80953503
02/01/2026,18/12/2026,7400,Put,14.93036461
02/01/2026,18/12/2026,7600,Put,14.23455906
02/01/2026,18/12/2026,7800,Put,13.72999573
02/01/2026,18/12/2026,8000,Put,13.48137188
02/01/2026,18/12/2026,8200,Put,13.43078709
02/01/2026,18/12/2026,8400,Put,13.55451679
02/01/2026,18/12/2026,8600,Put,13.82457733
02/01/2026,18/12/2026,8800,Put,14.24525356
02/01/2026,18/12/2026,9000,Put,14.6817894
02/01/2026,18/12/2026,9200,Put,15.42093372
02/01/2026,18/12/2026,200,Call,
02/01/2026,18/12/2026,400,Call,
02/01/2026,18/12/2026,600,Call,
02/01/2026,18/12/2026,800,Call,
02/01/2026,18/12/2026,1000,Call,
02/01/2026,18/12/2026,1200,Call,
02/01/2026,18/12/2026,1400,Call,
02/01/2026,18/12/2026,1600,Call,
02/01/2026,18/12/2026,200,Put,105.9114914
02/01/2026,18/12/2026,400,Put,86.7684021
02/01/2026,18/12/2026,600,Put,77.60997772
02/01/2026,18/12/2026,800,Put,73.17583466
02/01/2026,18/12/2026,1000,Put,68.75026703
02/01/2026,18/12/2026,1200,Put,64.82072449
02/01/2026,18/12/2026,1400,Put,61.43502426
02/01/2026,18/12/2026,1600,Put,58.60172653
02/01/2026,18/12/2026,9600,Call,12.74630833
02/01/2026,18/12/2026,10000,Call,13.08143806
02/01/2026,18/12/2026,9600,Put,16.87703514
02/01/2026,18/12/2026,10000,Put,17.92567825
02/01/2026,18/12/2026,12000,Call,16.6343956
02/01/2026,18/12/2026,12000,Put,24.06022453
